Suburb,Latitude,Longitude
Athurugiriya,6.8723185,80.0003875
Bambalapitiya,6.904361,79.8540397
Battaramulla,6.8979941,79.9222869
Batuwatta,7.062254,79.9412368
Bloemendhal,6.9529494,79.8702837
Boralesgamuwa,6.8409891,79.9017187
Borella,6.9121796,79.8828828
Cinnamon Gardens,6.9116652,79.8645678
Colombo,6.9270786,79.861243
Dalugama,6.9752231,79.9206694
Dehiwala,6.8301185,79.8800832
Dehiwala-Mount Lavinia,6.8301185,79.8800832
Dematagoda,6.9352993,79.8807831
Fort (Colombo),6.9337011,79.8500302
Grandpass,6.9511189,79.8740747
Havelock Town,6.8866519,79.8646835
Hokandara,6.8743192,79.9696277
Hulftsdorp,6.9362635,79.8639835
Ja-Ela,7.0667984,79.9040932
Kadawatha,7.0046719,79.9542002
"Kaduwela, Western Province",6.929061,79.9827754
Kahathuduwa,6.782298,79.9947956
Kalubowila,6.8631414,79.8786833
Kandana,7.0477897,79.8970348
Kelaniya,6.9516076,79.9186623
Kiribathgoda,6.9778284,79.9271523
Kirulapana,6.8814717,79.8763476
Kohuwala,6.8624842,79.8854983
Kollupitiya,6.9128154,79.8506815
Kolonnawa,6.9283596,79.8949946
Koswatte,6.908863,79.9313567
Kotahena,6.9487664,79.8604831
Kotikawatta,6.9345136,79.9059766
Kottawa,6.8411652,79.9654324
Madampitiya,6.9616629,79.8751836
Maha Nuge Gardens,6.9166884,79.8491938
Maharagama,6.8510951,79.9212011
Malabe,6.9060787,79.9696277
Maradana,6.926997,79.8639835
Mattakkuliya,6.9716722,79.8786833
Modara,6.9669247,79.8711533
Moratuwa,6.7880706,79.8912813
Mount-Lavinia,6.8301185,79.8800832
Narahenpita,6.8975934,79.881483
Nawala,6.8964191,79.8884819
Nugegoda,6.8649081,79.8996789
Pamankada,6.8776324,79.8713074
Panchikawatte,6.9309682,79.8639835
Pannipitiya,6.8463993,79.9484346
Pelawatte,6.8905834,79.924918
Peliyagoda,6.9584915,79.9055819
"Pettah, Sri Lanka",6.9367858,79.8525385
Piliyandala,6.8017575,79.9227313
Ragama,7.0280037,79.923
Rajagiriya,6.9094108,79.8942538
Ratmalana,6.8195453,79.8800832
Slave Island,6.9257119,79.8503314
Sri Jayawardenepura Kotte,6.8867616,79.9187142
Template:Suburbs of Colombo,6.9270786,79.861243
Thalawathugoda,6.8758648,79.9391936
Union Place,6.9229583,79.8523572
Wattala,6.9906677,79.8931709
Welikada,6.9230071,79.8940806
Wellawatte,6.8740921,79.8604934
Wickramasinhapura,6.8823236,79.9385794
